0.398	0.256107	0.255376
0.4	0.255248	0.254531
0.402	0.254483	0.253698
0.404	0.255904	0.255138
0.406	0.255011	0.254259
0.408	0.25414		0.253402
0.41	0.253279	0.252554
0.412	0.252475	0.251721
0.414	0.253869	0.253133
0.416	0.252974	0.252252
0.418	0.252102	0.251393
0.42	0.25124		0.250544
0.422	0.250472	0.249707
0.424	0.25184		0.251093
0.426	0.250945	0.250212
0.428	0.250072	0.249353
0.43	0.249209	0.248503
0.432	0.2484		0.247668
0.434	0.249744	0.249029
0.436	0.24885		0.248148
0.438	0.247978	0.24729
0.44	0.247116	0.24644
0.442	0.24635		0.245604
0.444	0.247671	0.246942
0.446	0.246778	0.246062
0.448	0.245907	0.245204
0.45	0.245046	0.244356
0.452	0.244244	0.243523
0.454	0.245543	0.244838
0.456	0.244652	0.243961
0.458	0.243783	0.243105
0.46	0.242924	0.242258
0.462	0.24216		0.241425
0.464	0.243437	0.24272
0.466	0.242549	0.241844
0.468	0.241683	0.240991
0.47	0.240826	0.240147
0.472	0.240024	0.239318
0.474	0.241282	0.240593
0.476	0.240397	0.239721
0.478	0.239534	0.238871
0.48	0.238681	0.23803
0.482	0.237919	0.237202
0.484	0.239158	0.238457
0.486	0.238276	0.237589
0.488	0.237417	0.236742
0.49	0.236567	0.235905
0.492	0.235774	0.235082
0.494	0.236994	0.236319
0.496	0.236117	0.235455
0.498	0.235262	0.234612
0.5	0.234417	0.233779
0.502	0.233657	0.232959
0.504	0.234861	0.234178
0.506	0.233988	0.233318
0.508	0.233138	0.23248
0.51	0.232297	0.231651
0.512	0.231513	0.230836
0.514	0.2327		0.232039
0.516	0.231832	0.231184
0.518	0.230987	0.230351
0.52	0.230151	0.229526
0.522	0.229406	0.228715
0.524	0.230576	0.229902
0.526	0.229714	0.229052
0.528	0.228873	0.228223
0.53	0.228042	0.227404
0.532	0.227261	0.226599
0.534	0.228416	0.22777
0.536	0.227559	0.226925
0.538	0.226724	0.226102
0.54	0.225899	0.225288
0.542	0.225163	0.224487
0.544	0.226302	0.225642
0.546	0.225452	0.224804
0.548	0.224622	0.223986
0.55	0.223802	0.223178
0.552	0.223035	0.222383
0.554	0.224161	0.223524
0.556	0.223316	0.222691
0.558	0.222493	0.221879
0.56	0.221679	0.221077
0.562	0.220952	0.220286
0.564	0.222063	0.221413
0.566	0.221225	0.220587
0.568	0.220407	0.219781
0.57	0.219599	0.218984
0.572	0.218843	0.218201
0.574	0.21994		0.219314
0.576	0.219108	0.218493
0.578	0.218297	0.217693
0.58	0.217495	0.216903
0.582	0.216778	0.216124
0.584	0.217862	0.217224
0.586	0.217037	0.21641
0.588	0.216231	0.215616
0.59	0.215435	0.214831
0.592	0.214686	0.21406
0.594	0.215757	0.215147
0.596	0.214938	0.214339
0.598	0.21414		0.213552
0.6	0.213351	0.212773
0.602	0.212644	0.212007
0.604	0.213703	0.213081
0.606	0.212891	0.21228
0.608	0.212099	0.211499
0.61	0.211316	0.210727
0.612	0.210582	0.209968
0.614	0.211629	0.211029
0.616	0.210823	0.210235
0.618	0.210038	0.209461
0.62	0.209262	0.208695
0.622	0.208565	0.207941
0.624	0.2096		0.20899
0.626	0.208801	0.208203
0.628	0.208022	0.207435
0.63	0.207252	0.206676
0.632	0.206527	0.20593
0.634	0.20755		0.206967
0.636	0.206759	0.206186
0.638	0.205987	0.205425
0.64	0.205224	0.204672
0.642	0.204542	0.203931
0.644	0.205553	0.204957
0.646	0.204768	0.204183
0.648	0.204003	0.203429
0.65	0.203247	0.202682
0.652	0.202537	0.201949
0.654	0.203538	0.202964
0.656	0.20276		0.202197
0.658	0.202001	0.201448
0.66	0.201251	0.200709
0.662	0.200582	0.199981
0.664	0.201572	0.200984
0.666	0.2008		0.200224
0.668	0.200048	0.199483
0.67	0.199305	0.19875
0.672	0.198607	0.198029
0.674	0.199586	0.199022
0.676	0.198822	0.198268
0.678	0.198077	0.197534
0.68	0.19734		0.196807
0.682	0.196678	0.196092
0.684	0.197646	0.197074
0.686	0.196889	0.196328
0.688	0.196151	0.1956
0.69	0.195421	0.19488
0.692	0.194735	0.194172
0.694	0.195693	0.195144
0.696	0.194943	0.194404
0.698	0.194212	0.193683
0.7	0.193489	0.19297
0.702	0.192842	0.192268
0.704	0.19379		0.193229
0.706	0.193047	0.192496
0.708	0.192322	0.191781
0.71	0.191605	0.191074
0.712	0.190931	0.19038
0.714	0.191869	0.191331
0.716	0.191133	0.190605
0.718	0.190415	0.189897
0.72	0.189705	0.189197
0.722	0.189071	0.188508
0.724	0.189998	0.189449
0.726	0.189269	0.188729
0.728	0.188557	0.188028
0.73	0.187854	0.187334
0.732	0.187198	0.186653
0.734	0.188116	0.187584
0.736	0.187393	0.186871
0.738	0.186689	0.186176
0.74	0.185993	0.18549
0.742	0.185367	0.184814
0.744	0.186275	0.185735
0.746	0.185559	0.185029
0.748	0.184861	0.184341
0.75	0.184171	0.18366
0.752	0.183521	0.182992
0.754	0.18442		0.183903
0.756	0.183711	0.183204
0.758	0.18302		0.182523
0.76	0.182337	0.181849
0.762	0.181726	0.181185
0.764	0.182616	0.182088
0.766	0.181914	0.181395
0.768	0.181229	0.18072
0.77	0.180553	0.180052
0.772	0.179917	0.179396
0.774	0.180797	0.180289
0.776	0.180102	0.179604
0.778	0.179424	0.178935
0.78	0.178754	0.178274
0.782	0.17815		0.177623
0.784	0.179022	0.178507
0.786	0.178333	0.177828
0.788	0.177661	0.177165
0.79	0.176998	0.176511
0.792	0.176376	0.175867
0.794	0.177239	0.176742
0.796	0.176557	0.176069
0.798	0.175892	0.175413
0.8	0.175235	0.174765
0.802	0.174645	0.174127
0.804	0.175499	0.174993
0.806	0.174823	0.174326
0.808	0.174164	0.173677
0.81	0.173514	0.173035
0.812	0.172903	0.172404
0.814	0.173748	0.173261
0.816	0.173079	0.172601
0.818	0.172427	0.171958
0.82	0.171782	0.171322
0.822	0.171204	0.170696
0.824	0.172041	0.171544
0.826	0.171378	0.170891
0.828	0.170732	0.170254
0.83	0.170094	0.169624
0.832	0.169495	0.169005
0.834	0.170323	0.169845
0.836	0.169667	0.169198
0.838	0.169028	0.168567
0.84	0.168396	0.167943
